genres,release_year,item_id,title,playtime_forever,user_id,recommend,sentiment_analysis
Action,1997.0,282010.0,Carmageddon Max Pack,155.31666666666666,76561198076055973,True,1.0
Action,1998.0,70.0,Half-Life,44714.2,AppoGetsSuperAdmin,True,0.0
Action,2006.0,2400.0,The Ship: Murder Party,17469.266666666666,wiinga,True,2.0
Action,2005.0,3800.0,Advent Rising,228.18333333333334,daflyinskwirel,True,0.0
Indie,2006.0,1520.0,DEFCON,3690.633333333333,chriz2010,True,2.0
Action,2006.0,2420.0,The Ship: Single Player,3234.133333333333,76561197993160547,True,2.0
Indie,2006.0,4000.0,Garry's Mod,7472776.933333334,76561198061252210,True,1.0
Strategy,2006.0,6210.0,Vegas: Make It Big™,137.1,TaTayTaylor,True,2.0
Racing,2006.0,2990.0,FlatOut 2™,4498.016666666666,76561198061192570,True,0.0
Racing,2005.0,6220.0,FlatOut,709.6166666666667,lambor-sb,True,2.0
Action,2000.0,6310.0,The Longest Journey,875.4666666666667,Beachy40,True,2.0
Action,2006.0,6550.0,Devil May Cry® 3 Special Edition,1124.6666666666667,nnotzsb,True,0.0
Action,1995.0,2280.0,Ultimate Doom,1302.55,Myther43,True,2.0
Action,1995.0,9160.0,Master Levels for Doom II,134.66666666666666,76561197976933723,True,2.0
Action,1994.0,2300.0,DOOM II,1112.7,76561198039581495,True,2.0
Action,2001.0,9010.0,Return to Castle Wolfenstein,1718.4333333333334,76561197960467275,True,1.0
Action,2007.0,2310.0,QUAKE,1556.45,bobdapeach,True,2.0
Action,2007.0,7670.0,BioShock™,45173.316666666666,tihoyzaza,True,2.0
Strategy,2006.0,4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12406.7,76561198000694266,True,2.0
Strategy,2006.0,4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade",31356.1,THETUG,True,2.0
Strategy,2004.0,4760.0,Rome: Total War™ - Collection,50329.066666666666,kamakze751,True,2.0
Racing,2003.0,12160.0,Midnight Club 2,510.5833333333333,76561198074942714,True,2.0
Action,2001.0,12140.0,Max Payne,4741.25,76561198102169883,True,0.0
Strategy,2008.0,17480.0,Command &amp; Conquer: Red Alert 3,26066.366666666665,everybodyloveskungfufighting,True,2.0
Casual,2007.0,12500.0,PuzzleQuest: Challenge of the Warlords,2138.266666666667,heyitissantooo,True,2.0
Simulation,2006.0,2700.0,RollerCoaster Tycoon® 3: Platinum,15711.2,captainchomp,True,2.0
Action,1998.0,13250.0,Unreal Gold,403.0833333333333,76561198054199777,True,2.0
Action,2004.0,13520.0,Far Cry®,5451.55,76561198064494251,True,2.0
Simulation,2006.0,15320.0,IL-2 Sturmovik: 1946,3385.5333333333333,76561198095920833,True,2.0
Racing,2008.0,12590.0,Sprint Cars Road to Knoxville,124.53333333333333,76561198096771953,True,2.0
Racing,2008.0,12360.0,FlatOut: Ultimate Carnage,2697.0333333333333,76561198019210728,True,2.0
Adventure,1997.0,15700.0,Oddworld: Abe's Oddysee®,4482.25,Terenator,True,2.0
Strategy,2001.0,7770.0,X-COM: Enforcer,123.6,Tahimaka,True,0.0
Strategy,1997.0,7660.0,X-COM: Apocalypse,1161.3666666666666,ImJustPro,True,2.0
Strategy,1993.0,7760.0,X-COM: UFO Defense,3119.0666666666666,FRANK00010,True,0.0
Action,2008.0,20510.0,S.T.A.L.K.E.R.: Clear Sky,8590.716666666667,goldnugget666,True,2.0
Action,2008.0,17330.0,Crysis Warhead®,3061.3166666666666,76561198145408008,True,1.0
Action,2007.0,17300.0,Crysis,15577.216666666667,76561197992227006,True,2.0
Strategy,1998.0,7730.0,X-COM: Interceptor,147.45000000000002,Helakarian-Randomossity,True,2.0
Action,2008.0,20900.0,The Witcher: Enhanced Edition Director's Cut,41530.933333333334,MisTletain,True,2.0
Strategy,2008.0,16810.0,Sid Meier's Civilization IV: Colonization,2040.3666666666666,PENGAmurungu,True,0.0
Action,2003.0,19830.0,Tom Clancy's Rainbow Six® 3 Gold,866.4666666666667,goblinop,True,2.0
Action,2008.0,21000.0,LEGO Batman,2833.5,76561198010900889,True,2.0
Action,2008.0,15390.0,Brothers in Arms: Hell's Highway™,1222.0833333333333,76561198083829532,True,2.0
Indie,2008.0,22000.0,World of Goo,4304.4,niwith,True,2.0
Action,2008.0,2820.0,X3: Terran Conflict,11473.2,76561198036934637,False,0.0
Action,2008.0,12200.0,Bully: Scholarship Edition,23599.916666666668,Plka,True,2.0
Action,2008.0,19900.0,Far Cry® 2: Fortune's Edition,19912.466666666667,sirkillsalot1337,True,2.0
Action,2008.0,11240.0,Space Trader: Merchant Marine,274.48333333333335,huehue13213,False,0.0
Action,2009.0,9480.0,Saints Row 2,54538.03333333333,DarkDragonForce,True,2.0
Action,2008.0,17470.0,Dead Space,15740.383333333333,HotDogKid47,True,2.0
Action,2009.0,17410.0,Mirror's Edge™,48072.083333333336,76561198092540221,True,2.0
Indie,2008.0,18500.0,Defense Grid: The Awakening,20705.216666666667,maxximo_r,True,2.0
Action,2009.0,16450.0,F.E.A.R. 2: Project Origin,8800.9,giveyouagoodlink,True,0.0
Strategy,2005.0,25830.0,Knights of Honor,899.2333333333333,ghillieboy,True,1.0
Action,2007.0,22180.0,Penumbra Overture,1574.8666666666666,end_,True,2.0
Action,2007.0,13210.0,Unreal Tournament 3 Black,11045.233333333334,76561198088531301,True,2.0
Indie,2008.0,27020.0,The Graveyard,29.133333333333333,CMSO,True,1.0
Racing,2009.0,24740.0,Burnout Paradise: The Ultimate Box,35718.73333333333,Oniityan_H,True,2.0
RPG,2009.0,1930.0,Two Worlds Epic Edition,2714.4333333333334,76561198082614655,True,0.0
Action,2009.0,7510.0,X-Blades,1477.9333333333334,76561197992809369,True,2.0
Action,2009.0,22200.0,Zeno Clash,2185.05,js41637,True,2.0
